model,repeat,fold,split_id,n_train,n_valid,rf_param_hash,R2,RMSE,MSE
B2,6,3,27,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.10704735748076422,2421.852066387832,5865367.4314670125
B2,6,4,28,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-3.34586551989599,684.5410572479744,468596.4590581747
B2,6,5,29,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.040689166844187774,795.0757998808874,632145.527556233
B2,7,1,30,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.3071646155413177,544.7546191012816,296757.5950321824
B2,7,2,31,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-4.773029846086997,418.52542928300403,175163.5349565228
B2,7,3,32,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.016917438196690004,761.4815207305281,579854.1064140777
B2,7,4,33,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.7645691247429511,448.1029433521302,200796.2478408424
B2,7,5,34,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.04639417205391538,2409.7256122481053,5806777.526324506
B2,8,1,35,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-1.070314846397935,320.09945154218366,102463.6588776068
B2,8,2,36,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.06061961036058894,2421.7872418781562,5865053.444923807
B2,8,3,37,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-18.244485618241878,458.93823484736714,210624.30340481712
B2,8,4,38,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,0.22837244915558685,623.7827484896957,389104.9173133589
B2,8,5,39,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.14671478094130208,661.9043185570271,438117.3269244423
B2,9,1,40,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.2650111807664488,2519.5063303935376,6347912.1488931095
B2,9,2,41,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-5.838543894936426,410.3611113465986,168396.24170561548
