model,repeat,fold,split_id,n_train,n_valid,rf_param_hash,R2,RMSE,MSE,feature_set
M1,6,3,27,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.12832110987397072,2445.011288663565,5978080.201692268,IV1;IV2;year_1;Region_1;PMC_T
M1,6,4,28,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-1.7689141693395007,546.4068138886239,298560.40626391734,IV1;IV2;year_1;Region_1;PMC_T
M1,6,5,29,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.1767183856673129,880.5725233688376,775407.968912162,IV1;IV2;year_1;Region_1;PMC_T
M1,7,1,30,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.2607656812262449,534.9989985996127,286223.9285025884,IV1;IV2;year_1;Region_1;PMC_T
M1,7,2,31,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-2.027564596322575,303.0865457828206,91861.45423456182,IV1;IV2;year_1;Region_1;PMC_T
M1,7,3,32,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.17242170666401235,831.5843308873416,691532.4993773476,IV1;IV2;year_1;Region_1;PMC_T
M1,7,4,33,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.315659036480352,386.9279791143538,149713.2610215178,IV1;IV2;year_1;Region_1;PMC_T
M1,7,5,34,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.07535025480249535,2442.8393591725535,5967464.134722573,IV1;IV2;year_1;Region_1;PMC_T
M1,8,1,35,32,9,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.3017149030351054,253.81931650173357,64424.245429407194,IV1;IV2;year_1;Region_1;PMC_T
M1,8,2,36,33,8,ce6ca82c326e584d8d688a7bedd72e06f508088c933485bfbfa222c82aab7fd0,-0.0849441218330671,2449.4007482920174,5999564.025733494,IV1;IV2;year_1;Region_1;PMC_T
